time_s,setpoint_m,position_m,measured_position_m,velocity_m_s,error_m,beam_angle_deg,disturbance_m_s2
0.0,0.0,-3.790088641927587e-05,0.0006094341595088627,-0.003790088641927587,3.790088641927587e-05,-4.347291651254574,0.0
0.01,0.0,2.8154072570327936e-05,-0.002117869098900267,0.00660549589896038,-2.8154072570327936e-05,12.000000000000002,0.0
0.02,0.0,-9.746813848947935e-06,0.0015290564641832424,-0.003790088641927587,9.746813848947935e-06,-12.000000000000002,0.0
0.03,0.0,-7.23877741820878e-05,0.0018713826189334798,-0.006264096033313986,7.23877741820878e-05,-2.8361617327313304,0.0
0.04,0.0,-3.107288910634799e-05,-0.003974458151489761,0.004131488507573981,3.107288910634799e-05,12.000000000000002,0.0
0.05,0.0,-6.389547610180434e-05,-0.002635431902830984,-0.0032822586995456355,6.389547610180434e-05,-8.5269702611274,0.0
0.06,0.0,-0.00020067390850614036,0.00019178533023276643,-0.013677843240433602,0.00020067390850614036,-12.000000000000002,0.0
0.07,0.0,-0.00027425059389755545,-0.0008331590931933048,-0.007357668539141511,0.00027425059389755545,7.261813012397169,0.0
0.08,0.0,-0.00037863345746598357,-0.00030785290890613303,-0.010438286356842809,0.00037863345746598357,-3.5323652516530055,0.0
0.09,0.0,-0.000379060475625532,-0.0020847213126131436,-4.2701815954841044e-05,0.000379060475625532,12.000000000000002,0.0
0.1,0.0,-0.0004834433391939601,0.001379735474100125,-0.010438286356842809,0.0004834433391939601,-12.000000000000002,0.0
0.11,0.0,-0.0005717855752084281,0.0010721405316639365,-0.008834223601446796,0.0005717855752084281,1.8384359663479224,0.0
0.12,0.0,-0.000568939769906191,-0.000439724180085996,0.00028458053022371345,0.000568939769906191,10.508190589873566,0.0
0.13,0.0,-0.0006700498100128335,0.001685542644029875,-0.010111004010664254,0.0006700498100128335,-12.000000000000002,0.0
0.14,0.0,-0.000686925236725064,0.0002649688744912577,-0.001687542671223046,0.000686925236725064,9.698828585838278,0.0
0.15,0.0,-0.0005998448180284148,-0.0024055101624915406,0.008708041869664921,0.0005998448180284148,12.000000000000002,0.0
0.16,0.0,-0.0006167202447406454,0.00013765675013658284,-0.001687542671223046,0.0006167202447406454,-12.000000000000002,0.0
0.17,0.0,-0.0005296398260439962,-0.0025344854463986433,0.008708041869664921,0.0005296398260439962,12.000000000000002,0.0
0.18,0.0,-0.0005465152527562267,0.001227260776570549,-0.001687542671223046,0.0005465152527562267,-12.000000000000002,0.0
0.19,0.0,-0.00045943483405957747,-0.0006463670747287324,0.008708041869664921,0.00045943483405957747,12.000000000000002,0.0
0.2,0.0,-0.0003595226661134321,-0.0008291595611500986,0.009991216794614538,0.0003595226661134321,1.4705716051232933,0.0
0.21,0.0,-0.0002023300964193037,-0.0017213817549213148,0.01571925696941284,0.0002023300964193037,6.5782935236144695,0.0
0.22,0.0,-0.00014909337213405498,0.0022427525809287567,0.005323672428524872,0.00014909337213405498,-12.000000000000002,0.0
0.23,0.0,8.099197560073408e-06,-0.00045815233627165925,0.01571925696941284,-8.099197560073408e-06,12.000000000000002,0.0
0.24,0.0,0.00019061442815453432,-0.0008485564467661411,0.01825152305944609,-0.00019061442815453432,2.9030051041595715,0.0
0.25,0.0,0.0003541956789142845,-0.0005136526728219248,0.01635812507597502,-0.0003541956789142845,-2.1701931485034414,0.0
0.26,0.0,0.00041382108426515506,0.001418814050020982,0.005962540535087052,-0.00041382108426515506,-12.000000000000002,0.0
0.27,0.0,0.0004873154050646178,0.0011447092129933116,0.007349432079946276,-0.0004873154050646178,1.5894645066626467,0.0
