kp,kd,rmse_m,mean_abs_error_m,max_abs_error_m,mean_abs_control_deg,max_abs_control_deg
4.5,1.2,0.04494209596432116,0.02383259036462523,0.19581287418304436,9.198878521929323,12.000000000000002
4.5,0.9,0.045341630958764735,0.02501798755324994,0.19480503729942628,8.636961332476199,12.000000000000002
4.0,0.9,0.04535251618068899,0.024665289814637212,0.1946229102747301,8.5245839360175,12.000000000000002
4.0,1.2,0.04559770646253675,0.023875398155045538,0.1964236520281899,9.142525697703498,12.000000000000002
3.5,0.9,0.04565817210874955,0.024488888402902854,0.19500627777392476,8.41090825752646,12.000000000000002
4.5,1.5,0.046182056614526554,0.024020776303461583,0.19754506192156396,9.639497373979784,12.000000000000002
3.0,0.9,0.04653210767915813,0.024566244304608086,0.19560418425488135,8.307296488633574,12.000000000000002
3.5,1.2,0.04686798700868204,0.024190460591003316,0.19684281791075764,9.074701665807044,12.000000000000002
3.0,0.6,0.04723399034320199,0.02702135834855682,0.1952172910295143,7.2806918196393,12.000000000000002
2.5,0.6,0.04729913964883831,0.026429619899480592,0.19595335355552312,7.051461656253485,12.000000000000002
4.0,1.5,0.047659755206854726,0.024595498088415883,0.1976885181045277,9.597427675103393,12.000000000000002
3.5,0.6,0.047680297400293344,0.027884478575746136,0.19590472814683552,7.513341038681259,12.000000000000002
2.5,0.9,0.04815476800758374,0.02511421560621903,0.1956920793771883,8.20162049857128,12.000000000000002
2.0,0.6,0.04822931760390325,0.02626326419248782,0.19722598644669803,6.8279270053138665,12.000000000000002
4.0,0.6,0.048397123905469325,0.02874781683380716,0.19713048798325028,7.745640615248082,12.000000000000002
4.5,1.8,0.04863573426292391,0.02541010366268531,0.19800655277054008,9.953866584711623,12.000000000000002
3.0,1.2,0.048736949967142396,0.02518264053946266,0.19670655970759074,9.013063071142945,12.000000000000002
4.5,0.6,0.04945567110228603,0.02986635268349802,0.19797507572029324,7.9461577218978405,12.000000000000002
3.5,1.5,0.04965458897784838,0.026016512203224127,0.19734970592821405,9.558830517914318,12.000000000000002
1.5,0.6,0.05058360844530497,0.02715680971454523,0.19667565535420106,6.663616620741179,12.000000000000002
4.0,1.8,0.050637794985513726,0.027236820698157208,0.19751943473776873,9.921831248801784,12.000000000000002
2.0,0.9,0.050920677527004056,0.02731086422767498,0.19468698180709565,8.122945520256984,12.000000000000002
2.5,1.2,0.05147650867773172,0.027806885645869778,0.19589988275162348,8.98229102905825,12.000000000000002
3.0,1.5,0.05232106309142643,0.028852753977906362,0.19661375632740447,9.533487539921989,12.000000000000002
3.5,1.8,0.053119068643932656,0.03000529834410573,0.19671116683459053,9.9042959879373,12.000000000000002
1.5,0.3,0.05487166208440846,0.03509123759364679,0.2044336216105821,4.7748314245563686,12.000000000000002
2.0,0.3,0.05551806267603432,0.03646103326535261,0.1950697265502514,5.484901577905313,12.000000000000002
2.0,1.2,0.05584958576198559,0.032414719218325005,0.1949294700109435,8.968315949181552,12.000000000000002
1.5,0.9,0.055932138904183325,0.032475630982798744,0.19330248839992684,8.091104749383142,12.000000000000002
2.5,1.5,0.0561434030759219,0.0329503434832888,0.19582564708906958,9.511915989436751,12.000000000000002
3.0,1.8,0.056393532029145425,0.033611582775597275,0.19583553936411402,9.89259619863264,12.000000000000002
2.5,0.3,0.057160039995212054,0.03841584941866666,0.19558136092684195,6.145702324570748,12.000000000000002
2.5,1.8,0.06072478931701163,0.039098311706357566,0.19493274510861883,9.87386051942538,12.000000000000002
3.0,0.3,0.06089782075619745,0.041557184624083275,0.20311210799141982,6.818525245535762,12.000000000000002
2.0,1.5,0.06144917876659817,0.03965084355949965,0.1950764315748268,9.496154102624946,12.000000000000002
1.5,1.2,0.06274582413688928,0.04105311210666063,0.1941610456487424,8.957197262792787,12.000000000000002
2.0,1.8,0.06660379510201182,0.04728880701853193,0.1932599379469363,9.857115962138508,12.000000000000002
3.5,0.3,0.066819679797113,0.04645914839561326,0.20729918304004946,7.454039306650566,12.000000000000002
1.5,1.5,0.0688519503967861,0.049930178051255374,0.1930382683170606,9.48929845859107,12.000000000000002
4.0,0.3,0.07241147862156302,0.05105487828244005,0.20633997976827229,7.974725280952777,12.000000000000002
1.5,1.8,0.07420662163648327,0.05765812536621931,0.18815138107462537,9.846606760877997,12.000000000000002
4.5,0.3,0.07714384269385438,0.05463239520853906,0.21888101750917444,8.227530208316544,12.000000000000002
