controller,rmse_m,mean_abs_error_m,max_abs_error_m,mean_abs_control_deg,max_abs_control_deg
PD,0.05030693209240721,0.026538982727393697,0.19651857385488347,9.099415398955237,12.000000000000002
PID,0.05113469483373434,0.02682705723399782,0.1996412953349727,9.098062279632643,12.000000000000002
P,0.1269111451517503,0.09646695758712201,0.32025510622037173,8.491105383017256,12.000000000000002
