controller,time_s,setpoint_m,position_m,measured_position_m,velocity_m_s,error_m,beam_angle_deg,disturbance_m_s2
P,0.0,0.0,-8.532074092429813e-07,0.0006094341595088627,-8.532074092429813e-05,8.532074092429813e-07,-0.09777041464668922,0.0
P,0.01,0.0,1.2067186878677454e-06,-0.002080821419890234,0.00020599260971107268,-1.2067186878677454e-06,0.33382239878436326,0.0
P,0.02,0.0,1.1636982306318232e-06,0.0015021091103007823,-4.302045723592231e-06,-1.1636982306318232e-06,-0.24098063468748043,0.0
P,0.03,0.0,-1.514520410185697e-06,0.0018822931310130595,-0.000267821864081752,1.514520410185697e-06,-0.30197286619783814,0.0
P,0.04,0.0,1.27217099271231e-06,-0.0039035848977178587,0.00027866914028980066,-1.27217099271231e-06,0.6262450309086732,0.0
P,0.05,0.0,7.703151708503628e-06,-0.002603086842731924,0.0006430980715791318,-7.703151708503628e-06,0.41760849142480694,0.0
P,0.06,0.0,1.3765394916458824e-05,0.0002633839580430744,0.0006062243207955196,-1.3765394916458824e-05,-0.042254209724492967,0.0
P,0.07,0.0,2.069384539680686e-05,-0.0006187197897707056,0.0006928450480348037,-2.069384539680686e-05,0.09926009143423238,0.0
P,0.08,0.0,2.764036773460744e-05,-1.2908469611770734e-05,0.0006946522337800581,-2.764036773460744e-05,0.00207088232043655,0.0
P,0.09,0.0,3.693670790479484e-05,-0.0016784474874125526,0.0009296340170187401,-3.693670790479484e-05,0.2692702800566145,0.0
P,0.1,0.0,4.3719032947259835e-05,0.001795732657630452,0.0006782325042464997,-4.3719032947259835e-05,-0.2880861267649,0.0
P,0.11,0.0,4.826234140755001e-05,0.0015993029038051565,0.0004543308460290175,-4.826234140755001e-05,-0.25657325834294714,0.0
P,0.12,0.0,5.255319664742455e-05,0.0001803237365299821,0.0004290855239874539,-5.255319664742455e-05,-0.02892900933775161,0.0
P,0.13,0.0,5.361422449481392e-05,0.0023070356105834903,0.00010610278473893671,-5.361422449481392e-05,-0.3701135302838985,0.0
P,0.14,0.0,5.32911680372613e-05,0.0009886329089989051,-3.230564575526173e-05,-5.32911680372613e-05,-0.15860458088545965,0.0
P,0.15,0.0,5.5299514392314964e-05,-0.0016652937577292153,0.00020083463550536637,-5.5299514392314964e-05,0.26716005110862323,0.0
P,0.16,0.0,5.6197940143348775e-05,0.0007928010825573126,8.984257510338138e-05,-5.6197940143348775e-05,-0.12718763686702292,0.0
P,0.17,0.0,5.9702548259241e-05,-0.001861567261514649,0.0003504608115892224,-5.9702548259241e-05,0.2986478526206442,0.0
P,0.18,0.0,6.066392293052185e-05,0.001816603150873786,9.613746712808528e-05,-6.066392293052185e-05,-0.29143434206665814,0.0
P,0.19,0.0,6.168016066035139e-05,-3.918789904198395e-05,0.00010162377298295401,-6.168016066035139e-05,0.006286843424653237,0.0
